T_A,T_sample,DT_sample
K,K,K
9.9286,50.43940004,0.143950258
10.9263,51.28948535,0.137663962
12.0424,51.35081904,0.132499486
13.0555,51.3931937,0.130018608
14.0171,51.66848848,0.137463391
15.0479,52.1649781,0.19919512
16.035,52.25665131,0.181902029
17.0239,52.77386235,0.143747453
18.0148,52.97081119,0.164283941
19.0093,53.40468375,0.147983319
20.0107,53.9253475,0.148143898
21.0116,54.24423607,0.152847794
22.0139,54.89994453,0.141295109
23.0142,55.25257352,0.178343474
24.0143,55.95370691,0.140554297
25.0148,56.48058368,0.120860667
26.0167,57.14409498,0.185759322
27.0156,57.50767762,0.14588944
28.0161,58.3175371,0.184313208
29.0195,58.71702508,0.128545792
30.0203,59.55421476,0.124768906
31.0235,60.31471308,0.178171214
32.0245,60.73479594,0.138647726
33.0252,61.63481179,0.154183015
34.0286,62.25366671,0.2121006
35.0327,62.98206728,0.181324493
36.0369,63.82336624,0.145679282
37.0401,64.45176371,0.132560849
38.0431,65.16169033,0.074794088
39.0518,65.86174563,0.164852645
40.0583,66.61505899,0.148099986
41.0616,67.49677837,0.131254415
42.0678,68.1948116,0.146531605
43.0762,69.05261147,0.177115447
44.081,69.74502759,0.121382713
45.0879,70.65314078,0.1532603
46.0954,71.47279945,0.207740328
47.0988,72.23390767,0.139277108
48.1055,73.00650075,0.212417095
49.1155,73.76461318,0.191603937
50.113,74.67015498,0.163618529
51.124,75.59765548,0.152971265
52.1298,76.52304818,0.17614571
53.1347,77.24423125,0.233670686
54.1353,78.05640146,0.233099164
55.1433,78.86507312,0.170339454
56.15,79.82709929,0.154069072
57.1529,80.70557834,0.132002808
58.1552,81.60047346,0.146683951
59.158,82.43011569,0.175557238
60.1666,83.18294186,0.2300446
61.1671,84.18415522,0.277323114
62.1688,85.20309433,0.257315487
63.177,85.92268916,0.186701257
64.1767,86.8219521,0.156052029
65.1825,87.69279614,0.152077284
66.1839,88.57590907,0.148314207
67.1904,89.49207366,0.168034226
68.188,90.36462616,0.164993516
69.1936,91.37882727,0.246413199
70.1945,92.20584575,0.230679836
71.1967,93.09478809,0.2289331
